Año,Entidad,Sexo,Edad,Población afrodescendiente,Población con condición mental,Población con discapacidad,Población hablante de lengua indígena,Población total
2020,AGUASCALIENTES,Hombre,10 a 14 años,0.011909806,0.020308717,0.08625908,0.00066586,0.509416653
2020,AGUASCALIENTES,Hombre,15 a 17 años,0.012348778,0.018874554,0.080743939,0.001129461,0.509879703
2020,AGUASCALIENTES,Hombre,5 a 9 años,0.01295981,0.019680827,0.076116277,0.000693199,0.506371711
2020,AGUASCALIENTES,Mujer,10 a 14 años,0.012288449,0.013074155,0.07943492,0.000801421,0.490583347
2020,AGUASCALIENTES,Mujer,15 a 17 años,0.011880516,0.012794402,0.090683587,0.000913886,0.490120297
2020,AGUASCALIENTES,Mujer,5 a 9 años,0.012876996,0.01185673,0.060072037,0.000695636,0.493628289
2020,AGUASCALIENTES,Total,10 a 14 años,0.012095562,0.016759561,0.082911261,0.000732364,0.279963741
2020,AGUASCALIENTES,Total,15 a 17 años,0.012119273,0.015894548,0.085615562,0.001023803,0.168646875
2020,AGUASCALIENTES,Total,5 a 9 años,0.01291893,0.015818631,0.068196386,0.000694402,0.282836393
2020,BAJA CALIFORNIA,Hombre,10 a 14 años,0.013408158,0.023282237,0.079965601,0.00574994,0.510027277
2020,BAJA CALIFORNIA,Hombre,15 a 17 años,0.012633822,0.021475366,0.074652463,0.007925433,0.511329593
2020,BAJA CALIFORNIA,Hombre,5 a 9 años,0.013655813,0.023943542,0.073108401,0.004907967,0.509284041
2020,BAJA CALIFORNIA,Mujer,10 a 14 años,0.013159786,0.014152978,0.075462945,0.005730453,0.489972723
2020,BAJA CALIFORNIA,Mujer,15 a 17 años,0.012584295,0.014111353,0.085860781,0.00834866,0.488670407
2020,BAJA CALIFORNIA,Mujer,5 a 9 años,0.012710395,0.013635282,0.058519501,0.005073277,0.490715959
2020,BAJA CALIFORNIA,Total,10 a 14 años,0.013286463,0.018809149,0.077759422,0.005740392,0.29414263
2020,BAJA CALIFORNIA,Total,15 a 17 años,0.012609619,0.017876791,0.080129637,0.008132251,0.172889359
2020,BAJA CALIFORNIA,Total,5 a 9 años,0.013191881,0.018885114,0.065949395,0.004989087,0.282188507
2020,BAJA CALIFORNIA SUR,Hombre,10 a 14 años,0.030184298,0.021622406,0.084138732,0.004962995,0.509199734
2020,BAJA CALIFORNIA SUR,Hombre,15 a 17 años,0.029909928,0.018993538,0.082974349,0.007000196,0.516171417
2020,BAJA CALIFORNIA SUR,Hombre,5 a 9 años,0.030357458,0.022878511,0.079294506,0.004740592,0.507402925
2020,BAJA CALIFORNIA SUR,Mujer,10 a 14 años,0.029177958,0.014122252,0.080578139,0.005721168,0.490800266
2020,BAJA CALIFORNIA SUR,Mujer,15 a 17 años,0.029611448,0.013056194,0.104606225,0.008721537,0.483828583
2020,BAJA CALIFORNIA SUR,Mujer,5 a 9 años,0.029359134,0.0124655,0.059051894,0.00382154,0.492597075
2020,BAJA CALIFORNIA SUR,Total,10 a 14 años,0.029690386,0.017941329,0.082391192,0.005335107,0.285953962
2020,BAJA CALIFORNIA SUR,Total,15 a 17 años,0.029765514,0.016120881,0.093440469,0.00783303,0.167249154
2020,BAJA CALIFORNIA SUR,Total,5 a 9 años,0.029865687,0.017749092,0.069323054,0.00428787,0.282860512
2020,CAMPECHE,Hombre,10 a 14 años,0.017833216,0.021219578,0.091090701,0.047019271,0.512012274
2020,CAMPECHE,Hombre,15 a 17 años,0.017923309,0.017750969,0.089788884,0.057130547,0.507189371
2020,CAMPECHE,Hombre,5 a 9 años,0.016504901,0.020613108,0.08432635,0.031976744,0.507516918
2020,CAMPECHE,Mujer,10 a 14 años,0.01694742,0.013062038,0.08253879,0.046829069,0.487987726
2020,CAMPECHE,Mujer,15 a 17 años,0.016495211,0.013036538,0.097286272,0.054851011,0.492810629
2020,CAMPECHE,Mujer,5 a 9 años,0.01676116,0.012997945,0.063652794,0.035082073,0.492483082
2020,CAMPECHE,Total,10 a 14 años,0.017400958,0.017238799,0.086917473,0.046926454,0.279447853
2020,CAMPECHE,Total,15 a 17 años,0.017219527,0.015427647,0.093483676,0.056007168,0.159516174
2020,CAMPECHE,Total,5 a 9 años,0.016631104,0.016862769,0.074144973,0.033506066,0.285886085
2020,CHIAPAS,Hombre,10 a 14 años,0.007410696,0.01179883,0.052759273,0.318822557,0.506084386
2020,CHIAPAS,Hombre,15 a 17 años,0.008167841,0.011463312,0.05122456,0.308751786,0.502068966
2020,CHIAPAS,Hombre,5 a 9 años,0.007478349,0.011309828,0.050654558,0.315007222,0.503854489
2020,CHIAPAS,Mujer,10 a 14 años,0.007732156,0.009537598,0.04913929,0.322118756,0.493915614
2020,CHIAPAS,Mujer,15 a 17 años,0.008204663,0.009496541,0.054438965,0.31485162,0.497931034
2020,CHIAPAS,Mujer,5 a 9 años,0.007446536,0.008594434,0.042491958,0.323371728,0.496145511
2020,CHIAPAS,Total,10 a 14 años,0.00756947,0.010681973,0.050971307,0.320450601,0.278553911
2020,CHIAPAS,Total,15 a 17 años,0.008186176,0.010483996,0.052825112,0.311789083,0.154459723
2020,CHIAPAS,Total,5 a 9 años,0.007462565,0.009962597,0.046604721,0.319157234,0.292722074
2020,CHIHUAHUA,Hombre,10 a 14 años,0.012923385,0.02057601,0.076207883,0.035999175,0.508263039
2020,CHIHUAHUA,Hombre,15 a 17 años,0.012388169,0.01845646,0.074228381,0.030593042,0.509025992
2020,CHIHUAHUA,Hombre,5 a 9 años,0.012867442,0.019549329,0.068903476,0.0364805,0.507944611
2020,CHIHUAHUA,Mujer,10 a 14 años,0.012809263,0.013113955,0.074558196,0.036971359,0.491736961
2020,CHIHUAHUA,Mujer,15 a 17 años,0.012342845,0.012395013,0.083175961,0.034138453,0.490974008
2020,CHIHUAHUA,Mujer,5 a 9 años,0.013020366,0.011816319,0.055065966,0.038324581,0.492055389
2020,CHIHUAHUA,Total,10 a 14 años,0.012867267,0.016906642,0.075396671,0.036477234,0.293366282
2020,CHIHUAHUA,Total,15 a 17 años,0.012365916,0.015480447,0.07862141,0.032333747,0.171611121
2020,CHIHUAHUA,Total,5 a 9 años,0.012942689,0.01574426,0.062094655,0.03738789,0.278955322
2020,CIUDAD DE MÉXICO,Hombre,10 a 14 años,0.015662806,0.024399948,0.097438054,0.003584137,0.507650724
2020,CIUDAD DE MÉXICO,Hombre,15 a 17 años,0.015371125,0.022597617,0.094398308,0.005400526,0.5091017
2020,CIUDAD DE MÉXICO,Hombre,5 a 9 años,0.015656001,0.022607238,0.082443761,0.00340925,0.507672364
2020,CIUDAD DE MÉXICO,Mujer,10 a 14 años,0.015742674,0.015349107,0.090043426,0.003825603,0.492349276
2020,CIUDAD DE MÉXICO,Mujer,15 a 17 años,0.015117312,0.015245696,0.097588505,0.0059164,0.4908983
2020,CIUDAD DE MÉXICO,Mujer,5 a 9 años,0.015852205,0.013777478,0.067017977,0.0036848,0.492327636
2020,CIUDAD DE MÉXICO,Total,10 a 14 años,0.015702129,0.019943773,0.093797314,0.003703023,0.299453034
2020,CIUDAD DE MÉXICO,Total,15 a 17 años,0.015246528,0.018988572,0.09596437,0.005653768,0.187259814
2020,CIUDAD DE MÉXICO,Total,5 a 9 años,0.015752598,0.018260103,0.074849222,0.003544911,0.277297536
2020,COAHUILA,Hombre,10 a 14 años,0.011797419,0.015861953,0.061995143,0.000352162,0.508312698
2020,COAHUILA,Hombre,15 a 17 años,0.011368426,0.015186829,0.06154075,0.000483499,0.508712735
2020,COAHUILA,Hombre,5 a 9 años,0.012149526,0.01675723,0.057941702,0.000313352,0.508344677
2020,COAHUILA,Mujer,10 a 14 años,0.01098276,0.010914497,0.063021928,0.000394409,0.491687302
2020,COAHUILA,Mujer,15 a 17 años,0.012118256,0.011039936,0.076419466,0.000744554,0.491287265
2020,COAHUILA,Mujer,5 a 9 años,0.011670974,0.01066219,0.047199334,0.000279809,0.491655323
2020,COAHUILA,Total,10 a 14 años,0.011396861,0.013429351,0.0625,0.000372934,0.272825411
2020,COAHUILA,Total,15 a 17 años,0.011736808,0.013149513,0.068850474,0.000611752,0.161329249
2020,COAHUILA,Total,5 a 9 años,0.011914244,0.013760571,0.05266016,0.000296861,0.281046476
2020,COLIMA,Hombre,10 a 14 años,0.016283277,0.018318687,0.080091755,0.006397002,0.509070574
2020,COLIMA,Hombre,15 a 17 años,0.016310827,0.018695134,0.078736317,0.006990354,0.509230387
2020,COLIMA,Hombre,5 a 9 años,0.014520655,0.018338445,0.077465248,0.004339881,0.510349881
2020,COLIMA,Mujer,10 a 14 años,0.015310396,0.012563235,0.078193574,0.006197863,0.490929426
2020,COLIMA,Mujer,15 a 17 años,0.014281698,0.012145066,0.085690188,0.006972168,0.490769613
2020,COLIMA,Mujer,5 a 9 años,0.016256845,0.011087304,0.053361902,0.004727409,0.489650119
2020,COLIMA,Total,10 a 14 años,0.015805661,0.015493166,0.079159882,0.006299238,0.290355393
2020,COLIMA,Total,15 a 17 años,0.015314992,0.01548056,0.082149066,0.006981429,0.173059474
2020,COLIMA,Total,5 a 9 años,0.015370781,0.014787923,0.065663042,0.004529634,0.286764214
2020,DURANGO,Hombre,10 a 14 años,0.007042091,0.017461159,0.088124107,0.040742704,0.509564165
2020,DURANGO,Hombre,15 a 17 años,0.006960975,0.015482168,0.082611566,0.035664993,0.507842181
2020,DURANGO,Hombre,5 a 9 años,0.0075599,0.016166385,0.076734658,0.0412176,0.510222515
2020,DURANGO,Mujer,10 a 14 años,0.007352677,0.011064941,0.085453914,0.040547499,0.490435835
2020,DURANGO,Mujer,15 a 17 años,0.007409854,0.011744308,0.097009226,0.037358872,0.492157819
2020,DURANGO,Mujer,5 a 9 años,0.007028776,0.010392382,0.06015055,0.041302759,0.489777485
2020,DURANGO,Total,10 a 14 años,0.007194414,0.014324224,0.086814549,0.040646969,0.278063382
2020,DURANGO,Total,15 a 17 años,0.007181894,0.013642551,0.089697487,0.036498649,0.160762053
2020,DURANGO,Total,5 a 9 años,0.007299768,0.013338408,0.068612135,0.041259309,0.287473095
2020,GUANAJUATO,Hombre,10 a 14 años,0.014346409,0.016445621,0.076217543,0.001919792,0.507328405
2020,GUANAJUATO,Hombre,15 a 17 años,0.014530109,0.015692997,0.074376896,0.002331771,0.505149114
2020,GUANAJUATO,Hombre,5 a 9 años,0.014086487,0.015521088,0.067689391,0.001726568,0.50667799
2020,GUANAJUATO,Mujer,10 a 14 años,0.014255889,0.011964896,0.073260046,0.002161663,0.492671595
2020,GUANAJUATO,Mujer,15 a 17 años,0.014887563,0.011314058,0.082380297,0.002098822,0.494850886
2020,GUANAJUATO,Mujer,5 a 9 años,0.014290157,0.01093234,0.0548357,0.001673355,0.49332201
2020,GUANAJUATO,Total,10 a 14 años,0.014301813,0.014238095,0.074760468,0.002038955,0.279408406
2020,GUANAJUATO,Total,15 a 17 años,0.014706996,0.013526076,0.078337386,0.002216496,0.16798605
2020,GUANAJUATO,Total,5 a 9 años,0.014186962,0.013257358,0.061348382,0.001700317,0.278515196
2020,GUERRERO,Hombre,10 a 14 años,0.080058786,0.016183121,0.080768074,0.176669523,0.505700258
2020,GUERRERO,Hombre,15 a 17 años,0.083536633,0.014873692,0.076680176,0.176162745,0.501059729
2020,GUERRERO,Hombre,5 a 9 años,0.08010702,0.01450077,0.070432314,0.158932734,0.504723512
2020,GUERRERO,Mujer,10 a 14 años,0.082329038,0.012028329,0.070469058,0.181713689,0.494299742
2020,GUERRERO,Mujer,15 a 17 años,0.082251595,0.012269575,0.081006856,0.182739612,0.498940271
2020,GUERRERO,Mujer,5 a 9 años,0.080076159,0.010992424,0.057113439,0.162643014,0.495276488
2020,GUERRERO,Total,10 a 14 años,0.081180971,0.014129409,0.075677273,0.179162853,0.281532472
2020,GUERRERO,Total,15 a 17 años,0.082895476,0.013574393,0.078838931,0.179444209,0.163899622
2020,GUERRERO,Total,5 a 9 años,0.080091735,0.012763169,0.063835788,0.160770348,0.283565848
2020,HIDALGO,Hombre,10 a 14 años,0.013464165,0.018230982,0.097789424,0.097566415,0.505830595
2020,HIDALGO,Hombre,15 a 17 años,0.013612257,0.016758986,0.097525044,0.098974661,0.506697242
2020,HIDALGO,Hombre,5 a 9 años,0.013688459,0.016695215,0.083821594,0.074830732,0.504639162
2020,HIDALGO,Mujer,10 a 14 años,0.013282543,0.012412258,0.09072362,0.09744336,0.494169405
