Flight_ID,Aeronave,DepartureStation,ArrivalStation,Destination_Type,Origin_Type,STD,STA,Capacity,Passengers,Bookings,Horario,Periodo,TiempoVuelo,Dia_Semana,Mapeo_Dia_Semana,Mapeo_Destination_Type,Mapeo_Origin_Type,abordaje_predicho
bb319ee8f62b5ae38e6f6da4dbff03cb,XA-VAV,BA,AB,Playa,Ciudad Principal,2024-01-12 08:20:00,2024-01-12 09:20:00,186,,,1,0,60.0,Friday,2,2,0,213.5
31659639d39b84bc59149bcc3f6d4e7a,XA-VAI,AT,BS,Playa,Ciudad Principal,2024-01-11 06:50:00,2024-01-11 07:55:00,180,,,0,0,65.0,Thursday,0,2,0,187.5
17718d43f541b4e944c5d8bd5b44e6a6,XA-VXO,AW,AX,MX Amigos y Familia,Ciudad Principal,2024-01-25 11:05:00,2024-01-25 11:55:00,240,,,1,0,50.0,Thursday,0,1,0,197.0
43cfcc874d1f88dd5562d8b4657d1559,XA-VIT,AO,AR,Playa,Ciudad Principal,2024-01-12 12:10:00,2024-01-12 12:50:00,186,,,1,0,40.0,Friday,2,2,0,213.5
10099a86c19b730babcfcc371c6bd98c,XA-VYD,AT,BS,Playa,Ciudad Principal,2024-01-06 14:55:00,2024-01-06 16:00:00,180,,,2,1,65.0,Saturday,6,2,0,213.5
14dbb8e29899e4642d61ca75674ed7f5,XA-VYF,BA,AZ,Ciudad Fronteriza,Ciudad Principal,2024-01-17 07:35:00,2024-01-17 09:20:00,180,,,1,0,105.0,Wednesday,4,0,0,213.5
5c0f447d2fa90f0e4356c7c0221ca18e,XA-VIE,BA,BS,Playa,Ciudad Principal,2024-01-01 08:20:00,2024-01-01 09:25:00,186,,,1,1,65.0,Monday,1,2,0,214.0
e5c8f48d7161779bdc89391849ddfb3d,XA-VBZ,BM,AV,MX Amigos y Familia,Ciudad Fronteriza,2024-01-08 00:05:00,2024-01-08 05:05:00,236,,,0,0,300.0,Monday,1,1,1,219.5
c80c55062dfde80ce783fefd70d833da,XA-VIY,BM,AV,MX Amigos y Familia,Ciudad Fronteriza,2024-01-22 00:05:00,2024-01-22 05:00:00,186,,,0,0,295.0,Monday,1,1,1,219.5
d9a5daa451926dcf733ec5fb966ea71a,XA-VCC,AT,BO,MX Amigos y Familia,Ciudad Principal,2024-01-11 05:40:00,2024-01-11 07:25:00,230,,,0,0,105.0,Thursday,0,1,0,187.5
